"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PPP1R14B",5718.74255123304,-3.65753683265497,0.296646905934761,-12.3295971051164,6.27597324764951e-35,1.35498262416753e-30
"UBA2",4363.58120078732,2.93558535179917,0.283863520150289,10.3415378990754,4.57141619080577e-25,4.93484377797483e-21
"RPA1",3709.09901552818,-2.62240628374657,0.260704788063955,-10.0589110895165,8.39214088331529e-24,6.03954405569257e-20
"PCDHGA8",1389.1902945688,-4.66933691866809,0.4737743967443,-9.8556126096197,6.48201878118183e-23,3.49866963714289e-19
"KLHL36",786.503967223689,-2.9649015363632,0.401916561869517,-7.37690808901216,1.62007764683256e-13,6.995495279023e-10
"KYNU",405.08065234165,3.33885087489973,0.489099311508175,6.82652949276114,8.69934175292799e-12,2.91000103232897e-08
"AGK",893.274333520096,-2.27691438384629,0.334109747995948,-6.81486965736151,9.43492692278961e-12,2.91000103232897e-08
"TUBB2B",1161.12966862638,-3.99077678295504,0.588757078081812,-6.7783079499564,1.21591465688549e-11,3.28144968026972e-08
"KIF22",2884.32189685104,-1.69896613212516,0.29065327674661,-5.84533624097522,5.05546056181298e-09,1.21274881699491e-05
"PDXP",1139.94128737621,2.79997943115651,0.484463551545473,5.77954610253832,7.49024275286868e-09,1.61714341034435e-05
"AC004080.6",19.0862179406675,-7.9399253349052,1.38293768350921,-5.74134715510653,9.39263130899929e-09,1.8435173632845e-05
"AC118553.2",101.470670330126,5.17324632186583,0.93172186835943,5.55235043583859,2.81853841972106e-08,5.07102037348147e-05
"RELN",120.110090854549,3.73082991806449,0.673636609248391,5.53834198860889,3.0534856296301e-08,5.07113498028568e-05
"NLGN2",1498.65494382101,-2.29652919723307,0.420292800247347,-5.46411738645425,4.65215623688281e-08,7.17428951102141e-05
"AP002990.1",23069.1982176087,2.69898201561168,0.51501176180865,5.24062209013096,1.60036162054829e-07,0.00023034538258425
"LMNB1",1175.65754270596,-3.47976866830249,0.697286385331293,-4.99044401483501,6.02406589097912e-07,0.000812872391163995
"PPP1R18",5400.35118907016,1.16759598001995,0.238431575098303,4.8969855588068,9.73179870981828e-07,0.00123593843614692
"MCM4",5450.48891538139,1.6589134241773,0.339949664943719,4.87987956820593,1.06150640980118e-06,0.00127321796597819
"PPP1R14BP3",467.955163624663,4.14165137371558,0.874729355373717,4.73478036180244,2.1929244605725e-06,0.0024918546896716
"FCER1G",13.3616733257658,6.93300964605814,1.48321300305024,4.67431827512323,2.94931650815035e-06,0.00318378717054831
"FP236383.2",706.614341578836,3.79903395690348,0.816779075944182,4.65123809949694,3.2994811186264e-06,0.00339218082624495
"KLHL9",2709.4321845595,-2.28829466928134,0.505457424923208,-4.52717589345727,5.97771824047008e-06,0.00586631530962496
"AP000275.2",186.184982566183,10.7405331787789,2.40351561962238,4.46867625535399,7.87051454276762e-06,0.00738801778166752
"ETV3",300.731818040732,1.94162887685011,0.444815508093214,4.36502064681439,1.27110752007431e-05,0.0114346713993351
"Z83844.3",956.997813866776,-3.82256133708071,0.881423588036852,-4.336803994087,1.44569434116627e-05,0.0124850163303119
"NEDD8-MDP1",105.527964010296,2.76461313291639,0.659630477650051,4.19115433047514,2.7753878590613e-05,0.0230463937988975
"TMEM256-PLSCR3",561.975303650184,7.76955123903297,1.86103876249285,4.17484654034057,2.98186991378614e-05,0.0238439153476455
"AL928654.3",53.3330811751703,5.24873531040527,1.27715089104007,4.1097221536062,3.96135460494458e-05,0.0299553005445095
"PKD1P5",775.154522501558,-1.41547951781422,0.34472450726787,-4.10611803910509,4.02363925794708e-05,0.0299553005445095
"LYZ",15.1604656777201,7.13452699537079,1.7414761854097,4.09682719473554,4.18851327400323e-05,0.0301433338619099
"PCDHGC3",6779.35575584345,2.32972981128519,0.572904391744873,4.06652461537189,4.7719446926334e-05,0.0332342857786952
"ADPGK",1444.08302822843,-1.83599514286203,0.458178813129649,-4.00715853777924,6.14536145981009e-05,0.0412884273609482
"CKLF-CMTM1",97.0480343235984,2.8111909957846,0.702644090757256,4.00087474265231,6.31087588194206e-05,0.0412884273609482
"AC004922.1",440.204145248575,3.24480289009573,0.826468571211344,3.92610560537089,8.63322635458225e-05,0.0548209873515973
"ST18",14.1093574606545,7.00082130309233,1.814471723451,3.85832482954172,0.000114166849248669,0.0698248782913665
"DAAM2",877.203899561429,-1.65795536184081,0.430243674592299,-3.85352640782435,0.000116428699327892,0.0698248782913665
"PMS2CL",77.523946903279,2.37500284159234,0.620459115093941,3.82781521588696,0.000129285756788642,0.0754399861909942
"SPG21",2058.48451471345,-1.97182032532588,0.524791320425993,-3.7573417253267,0.000171727914716618,0.0975685704929416
